,address,quantity,percetages,value
0,0x2d0514Ee4d84dEADe05A11Dee14d720538B56fCB,"26,840,230.725444423409345155",26.8402,"$144,959.17"
1,0xa426d62949107BD90BF6770306a86B3c0e407B7c,"12,396,745",12.3967,"$66,952.55"
2,0xef32a6B3f25E254E7c5D2b70b80d169c5DF0efAF,"12,282,493.921385038048688866",12.2825,"$66,335.50"
3,0x9f2673aaf9Bd2bc4db00AB059dA104Cd621Bcad2,"12,194,155.284837841707477238",12.1942,"$65,858.40"
4,0x6b05288152347813d2fE0EBEC3cFd14155907cc9,"12,185,165.81152482406769361",12.1852,"$65,809.85"
5,0x0BA620398F34df5eeD9045DF68173893DCbcCb28,"12,170,603.995973151961194169",12.1706,"$65,731.20"
6,0xbeB3D5C23DBea5647f204E20126bEcAA147a8FBC,"12,156,966.213031642282076406",12.1570,"$65,657.55"
7,0xc29B4A3551579f0de0b9614bD5523D1287d6A152,"12,141,344.76189",12.1413,"$65,573.18"
8,0xa501D02536F1105dD1a703a9B486BfACC7f685b7,"11,689,872.962852058964157842",11.6899,"$63,134.86"
9,0x83B2A6488E33E0fd12f9664E0a2508d5997C9810,"10,612,599.400945762632102406",10.6126,"$57,316.70"
10,0x628EfCF2358817A06B064eA290cE179D39713959,"10,303,081.3958",10.3031,"$55,645.05"
11,0x425c14B988267874aE61eDcA7C85235557Eff671,"10,300,000",10.3000,"$55,628.41"
12,0xB50b6DA7C6D6eb7529278f676b196E7C54e3dB13,"10,000,778.009729482004449199",10.0008,"$54,012.37"
13,0x396d33CE3cFCEB980282b2EAda3E37f572614Eb3,"10,000,000",10.0000,"$54,008.17"
14,0x7656e966660b7EAd4ed84f766842B5E6B9323DF6,"10,000,000",10.0000,"$54,008.17"
15,0xde6c7f4E3E01fe036e550FfF1fC0E0cE124301cF,"10,000,000",10.0000,"$54,008.17"
16,0xCd66F2Ae46D89dD15C50c1DA0B708A47B3E8AD78,"10,000,000",10.0000,"$54,008.17"
17,0x31460033635F4DAFA99C6b02b4E719b682191C67,"9,847,692.258785905640266606",9.8477,"$53,185.58"
18,0x5c189E3D81D9ADD92cFd518B87206e501943CC3e,"9,697,052.219153087746761737",9.6971,"$52,372.00"
19,0x000000000Ab8Af2f9fFFD660214F27C6067Ed072,"9,218,945.002680783049150986",9.2189,"$49,789.83"
20,0xb3a6336Ee87e7e84E9DF52403a7108b0B58b6FcE,"9,217,666.265354628909915078",9.2177,"$49,782.93"
21,0x47E1b2FCa366C46644D1b0cfc448bEC031b2C59e,"9,139,733.948684378281674124",9.1397,"$49,362.03"
22,0xC4Cf462e12852939b498bf7145Ac8e92bDb5443C,"9,109,277.601972074504229979",9.1093,"$49,197.54"
23,0xc55fd33c52dCB1C40B7f993B40799FaeA601e978,"9,100,872.848248938120292805",9.1009,"$49,152.15"
24,0x18650f2AF3bA269c23b399E71A944E3731100585,"9,029,310.247392269845960599",9.0293,"$48,765.65"
25,0x370B2e0f833d69C581987467c581EA13bF7CDE44,"8,999,999.999999999994374999",9.0000,"$48,607.35"
26,0x239241AaB24d73a701dD1810d2e6eFFE7d2b8123,"8,250,421.143822408060515399",8.2504,"$44,559.01"
27,0x8b5c35b491Ab03b14C950D323dBbAcC126eeCa76,"7,532,918.838127594664046543",7.5329,"$40,683.91"
28,0xbE7D15e7BF25F17Beb5ed5f4362aFD91fDB44177,"7,122,869.12708810614749208",7.1229,"$38,469.31"
29,0xEC75c6358093595D374ec5079709ba273138f266,"7,019,783.585099420333964667",7.0198,"$37,912.56"
30,0x3CA5C06c58fe843DB32AD7BE3E56Fd7bFF233549,"6,982,270.881513981113874655",6.9823,"$37,709.97"
31,0x9226Ce675519cd00A3Fb6E0884840df37341525d,"6,748,305.087390780573236417",6.7483,"$36,446.36"
32,0x292093B976100Ab5D6345540A09fFDC0e54A8C59,"6,725,698.722225",6.7257,"$36,324.27"
33,0x73c19e5aCDa0720E1C8efAEc98604bf651aE08F4,"6,366,330.909769504842491877",6.3663,"$34,383.39"
34,0xb3d64bda8281d97dB1eE630da11167d091413958,"6,047,149.715736516650804005",6.0471,"$32,659.55"
35,0xe8926d5a5ae59383c41CEeEf2E987F42b71daAa5,"5,974,032.711710628227723802",5.9740,"$32,264.66"
36,0xADA3448548AB8Db8A4fA11d69Fe95df12B04d38E,"5,919,282.244977432095752824",5.9193,"$31,968.96"
37,0xF37fa5670870C087C5c8a66f5658285f65B5a691,"5,598,918.413553367012970779",5.5989,"$30,238.73"
38,0x7257dD87d9250FCFAa9b838EFD5f42BcD42f7525,"5,500,970.815582428924918353",5.5010,"$29,709.74"
39,0x6f57C7143c3c41A7c60FA8Ea0A18F17ca00D7dBb,"5,360,337.343111670258529108",5.3603,"$28,950.20"
40,0x9aBccdAdafD704f2CdE291EaaA4796edF8BC31A9,"5,348,724",5.3487,"$28,887.48"
41,0x2e10DCFEFCdA2f726Af7a3D091ecF0A1D6293188,"5,317,434.453173726102382316",5.3174,"$28,718.49"
42,0x61fDB286DF121E946AF75b5ddD0D96fAb2F08E1E,"5,274,353.540321874149779306",5.2744,"$28,485.82"
43,0x635ECdAeA7742a40a338B21C40eaf35F16095ac8,"5,248,366.120631248972715735",5.2484,"$28,345.46"
44,0xFE8bb64A0eF3E534f3039ccc74E8bbAe4c31c6E2,"5,038,013.095506993123111875",5.0380,"$27,209.39"
45,0x59498A29f0DCedbE74CCCAff5E261da8Eeb82043,"5,000,000",5.0000,"$27,004.08"
46,0x0479a02B123DdB559DB1bEa3E6b5386215d2Bf90,"5,000,000",5.0000,"$27,004.08"
47,0xC365BEf2161110d4e9fEA9DE11082194b7C805D1,"5,000,000",5.0000,"$27,004.08"
48,0x86adD617CF39e20B358a28eE7D8aa90A714e3ab9,"4,800,425.665712772598518431",4.8004,"$25,926.22"
49,0x277548054955b4F689a42A686511E92784a3503c,"4,700,906.730122695709517332",4.7009,"$25,388.74"
50,0x3DC2bf9E72AbF5BFf503c5E982E2Af679f2FCa2E,"4,651,276",4.6513,"$25,120.69"
51,0x5e4df5cE9EA8FAfbC5e4DC11d15E82ECf7e54873,"4,514,268.233823157593538564",4.5143,"$24,380.74"
52,0xdc4dAB12C35aF19D7145086Ee51352937b7181a2,"4,387,912.809159758973932617",4.3879,"$23,698.31"
53,0x7750E74C469Df62B84c5a960365c9919e062341d,"4,337,196.541575294126323373",4.3372,"$23,424.40"
54,0xd5EDA82b39D35eAAFE29238F18EDBA6265fEfe85,"4,257,736.94236668548290303",4.2577,"$22,995.26"
55,0x5CF951A01d230BeBB41eefBe7108d8334aD272aD,"4,228,058.35234224293893718",4.2281,"$22,834.97"
56,0x3299b951d3687F1486dCa345620E666836E1F33E,"4,210,932.514575462436944141",4.2109,"$22,742.47"
57,0xC607F6DDF6Edb6b09CEa4c6e572195D64a82f725,"4,159,003.563472897278108101",4.1590,"$22,462.02"
58,0xecE1ba45e0A6B9371f306Fb82b8A3764D8b7B30e,"4,118,632.640562331835364349",4.1186,"$22,243.98"
59,0x910a4F83C67BF3545959a9aeBDce539ACAa5eA19,"4,066,476.539328831963628034",4.0665,"$21,962.29"
60,0xc1A9e3141ee796977eD92C1c6b4B725E4E40F7DE,"4,036,520.506877138391410881",4.0365,"$21,800.51"
61,0x44c13Ec445C995aD0071434805Db36fE73cDF4Eb,"4,017,936.011434016181299624",4.0179,"$21,700.14"
62,0x8F02364F9fa0961f886f8b41480782061333bD70,"4,006,106.67682833843843209",4.0061,"$21,636.25"
63,0x913e1375c797410ff15fc8CF0524472f5c1BeC84,"4,002,259.5286376616903212",4.0023,"$21,615.47"
64,0xF3b914471b4A6965829A192B503917473F0e047B,"3,862,438.541381768908926731",3.8624,"$20,860.32"
65,0xEB3805b8623F9d2C9bE45A7F22E3f41A0C2BF8d2,"3,762,842.763877637689680424",3.7628,"$20,322.42"
66,0x014441730Fe303D14Bd071Eb5c4297B9003bB0f2,"3,730,639.943908372646562528",3.7306,"$20,148.50"
67,0x97e0b94b00C32808E40E893dCC90bBA33C089D38,"3,715,006.237653075223337879",3.7150,"$20,064.07"
68,0x4cd992A681F2ec7ce8A24ba92bFe84D70e9006B5,"3,654,586.194228376181935835",3.6546,"$19,737.75"
69,0x144D33A662Cf57BeBACf836353950aBAacdB4eb7,"3,647,587.771691479730745148",3.6476,"$19,699.95"
70,0x8B93859622e6d034FAF9C4E5e0F2462DA278A30F,"3,633,750",3.6338,"$19,625.22"
71,0xD1E26F90442eE99c1B9d6dEec8C9ADA015B86Cf8,"3,585,420.459322293774278795",3.5854,"$19,364.20"
72,0x775817158a82811c044a6996e276607B89344aaA,"3,513,035.736710352163157495",3.5130,"$18,973.26"
73,0x74F6C7B4942484320d032caC4E3BeDbf8a854E48,"3,500,000",3.5000,"$18,902.86"
74,0x13F3AEb234f1429Bf2FcaDCB3D59e6d9275Ac97a,"3,360,171.918071801871825978",3.3602,"$18,147.67"
75,0xFE79A1F827EE78fEF63dE3deb67095868065E564,"3,358,932.111528159940554189",3.3589,"$18,140.98"
76,0x927F8164Cd4F61Aedf2C3BA1D703FA99aC90A809,"3,300,834.9620697",3.3008,"$17,827.20"
77,0x568C917E7796C56DB5385A2e1AD97E66ec9daB52,"3,221,512.542063076196028616",3.2215,"$17,398.80"
78,0x22A28271b26F7a2fF7D2c04dA2754a69394EC40C,"3,200,504.364535023916776511",3.2005,"$17,285.34"
79,0x0d2ADf38Ca3faff58633aCd070684b0A395F37C1,"3,161,485.84478854307553847",3.1615,"$17,074.61"
80,0x860A31949F83a4bca8BD7c6B123B77AE1aC00fd1,"3,000,000.203337827795305629",3.0000,"$16,202.45"
81,0xE245c170507b8F8c577ACccfA2eeF8B3BCB5F4c3,"2,952,101.963122893097082749",2.9521,"$15,943.76"
82,0x767CBE9A598923C773364957296ED700A5433ceB,"2,930,308.610476251989838816",2.9303,"$15,826.06"
83,0x631ddaD240268e880fbe6705f5505bA921aC8032,"2,926,624.666744977997485188",2.9266,"$15,806.16"
84,0x1beE757CB1017A2732A1E7e567Ca227f694612E2,"2,923,534.577020875900523493",2.9235,"$15,789.47"
85,0x3008A6D71073bb994fc487Ba1F3dd49F9C454aB3,"2,915,168.531219956351109213",2.9152,"$15,744.29"
86,0x437585885904be63e9962ebE96484b5e4C22e996,"2,800,408.222734386624742095",2.8004,"$15,124.49"
87,0x5E8bb488e85EA732E17150862b1AcfC213a7C13d,"2,753,853.677158321223318783",2.7539,"$14,873.06"
88,0x342E2ff1fd776E3661ec2e9A56B971f880467376,"2,753,261.916115280827505585",2.7533,"$14,869.86"
89,0xc486fB432afA129c2184DE46251da3Cd37215E4B,"2,670,600.212034557359646078",2.6706,"$14,423.42"
90,0xb7142f8bC87d5d094F04C277232087F4d22070c1,"2,623,496.752293940693623719",2.6235,"$14,169.03"
91,0xcE4B60F474fbbFcd0C902b4b2c3CdDA43dff0b77,"2,607,439.553985933179023124",2.6074,"$14,082.30"
92,0xbdd35f02B9df7ACc32ffdbe9acdC06ea1324B21b,"2,600,840.728069527464668559",2.6008,"$14,046.66"
93,0x47c1150B1dD3be33e4f63E4066742befd6e1f12F,"2,593,039.598771242315070334",2.5930,"$14,004.53"
94,0x4D93B7d3AF174E51AC25AFB15b23bC64975EC441,"2,550,522.334818669338580897",2.5505,"$13,774.90"
95,0x8d1473505bB6eaA7397B0576600E7810baB3A12d,"2,549,243.498676335998185549",2.5492,"$13,768.00"
96,0x4937aC3f7D06B66be6B7C39E536114F4a042A48D,"2,547,271.675614836240335679",2.5473,"$13,757.35"
97,0x846Ce0fd79c170439E100cbDC3B92313503Bf827,"2,539,224.828901393625117351",2.5392,"$13,713.89"
98,0x84b3Fedd93EDEaB37C12879a7239B8D15072f6bD,"2,500,000",2.5000,"$13,502.04"
99,0x4B66ea2CE4fE93DD7350c02a34D2D7e2FE259b59,"2,500,000.000000000000000001",2.5000,"$13,502.04"
100,0xf32D0c91Cc93C215CB67965596C7cc493561f7cB,"2,500,000",2.5000,"$13,502.04"
101,0x12BA1E1Ca84e252a63D96C6c0C7396897c1f1cA2,"2,500,000",2.5000,"$13,502.04"
102,0x127B3BD44c452d00bdA424536E902EfF57453391,"2,468,081.179643448521502637",2.4681,"$13,329.65"
103,0xFCE49B12017C6fD7984afA95134F3461666f8d4d,"2,452,909.915487046874083169",2.4529,"$13,247.72"
104,0x9F075F9FDf877528A4b0A13a77B2A359c3829d34,"2,436,638.629217008789129503",2.4366,"$13,159.84"
105,0x2e6E8950d8a57FfA3D5e4A9583ceDe2d0b2e3c9D,"2,410,000",2.4100,"$13,015.97"
106,0x6dE5dCCB8E0570357955EF336910F6022cE4A46b,"2,400,000",2.4000,"$12,961.96"
107,0x000000000004444c5dc75cB358380D2e3dE08A90,"2,321,773.781620029120405417",2.3218,"$12,539.47"
108,0x080aDf569fA2BF9f329A94a81bA7e5371Ab8Ab07,"2,299,403.386106079959050184",2.2994,"$12,418.66"
109,0xdE2dA2780877D08e1Ef206167C380A598E8De2ed,"2,296,350.000000000032805001",2.2964,"$12,402.17"
110,0x3f7328A4fe7b956Ac0eB0FdE56AeeE9C9A5c56C2,"2,274,147.561455450431170535",2.2741,"$12,282.25"
111,0x1924a242DD1e6EB0d1306a12dF797B88A0F03cB0,"2,248,283.106619835906764309",2.2483,"$12,142.57"
112,0xF1E9D673B106Dae9C9f0b77473E84f4bCD6c7c2E,"2,231,766.831865032553752189",2.2318,"$12,053.36"
113,0xa22D651a5671118A2Ee9E714577E2132aa6d5BAC,"2,230,394.090748316167436327",2.2304,"$12,045.95"
114,0x68d370eC79994B4D54791105f75C34A9a148F5dE,"2,222,829.410272148157801304",2.2228,"$12,005.09"
115,0x80d0500b79aAaE2f43b153153eCBF2d21678F7E7,"2,170,831.277049217320461036",2.1708,"$11,724.26"
116,0x4808A37A014C1a3EF882b23D148F119f9DDD56A0,"2,169,632.511263143869424146",2.1696,"$11,717.79"
117,0xdD293ba5A549f06665dC0D73904A00f067846580,"2,128,842.140158769032240663",2.1288,"$11,497.49"
118,0x5dB8CD485dd7B85dFD5dBc36d211DBf9e857077e,"2,069,645.754876444383976662",2.0696,"$11,177.78"
119,0x0c9DA8c670f44f530E05df91F2E17546A06EA6B1,"2,045,569.684635826221035253",2.0456,"$11,047.75"
120,0x2355323B3723b2c25b6e29599562AC118b5eD241,"2,038,544.624670628630249609",2.0385,"$11,009.81"
121,0x0fEcD7e7b6627Bc9A87660522E11997BAD75d8aa,"2,024,812.887119682913457371",2.0248,"$10,935.64"
122,0x568E722bd679eE5861AdCD9b01346090e91F41Ae,"2,020,000",2.0200,"$10,909.65"
