,account,token_account,quantity,percetange,value
0,Cdaw7MQHLQjkR1rUc5wAeZzcHZMkrHQwiR4WokCcPPSm,HGVXqkGAxLruBm5sSimxLvJDsNh6CLBDVNXrXxjdZwfJ,"16,006,912.778169",1.6%,"$4,900.12"
1,sx5N4eDBEojNCpfcLGngkkjvbfSQEDd73oE5Y9j7zTy,6ZmZyQWHRH9owjkQ6u9tFAZc8xwUf1jyr2soUw21HLg,"15,678,999.58318",1.56%,"$4,799.73"
2,8AKicxCiQ7EDJ7p3LRqJdid9HJ8LjXgeeL1doS5Vb4ix,4iuVyvLH59kkrJXa29eVwTyfCK3bPQZf9atuktWPimsz,"15,335,871.106201",1.53%,"$4,694.69"
3,EB2VVwjFp92MRomFZmaF3idirXPKvjxL5Bt4NfXd3nLW,8bKhbvXFmP2okfripHTfwuGwH7o39JyRExV9c6dgGTQK,"15,191,803.350103",1.51%,"$4,650.59"
4,2Eh3Jo4ypTRbEYZ8RGhkmkwAPHqb3jDvEt9z6MpnJdjL,zRdwviKu8oCW7C1xvgGriZrNgx2m4fVf59pj1bGR9uy,"13,120,000.981013",1.31%,"$4,016.36"
5,4L1iWuf6TKi91bbNxybCmXD1vbTGMTDSCNgcofgnCQ8B,phJNc9oe42rnDugFJp5UWTihH6hHcsfSLPjF33PmQDT,"11,943,271.920009",1.19%,"$3,656.13"
6,FvNPf2wMQY8wTjtFDwmXfdER9QmNvZZ1bRixJXJeSRF8,7KZ6eyEwLKp3uQmYxCwasCXwfDoXtuTmDGU4H9k1wxjT,"11,629,604.840828",1.16%,"$3,560.11"
7,AF5sQJMHcuL9srvR4hsxiUaZoC55N7ws59255ExJeVBC,HKJRShaQJwFNry8482CJCniTZXSWFn9NprDGNwguymmL,"11,604,022.74239",1.16%,"$3,552.28"
8,H5LMVyj9ksyzPjBJkR3y9PQ7XDMBcfkWoXkFkq9gxiWx,8QQ4Rt2psCziJL3WYpKyHDikjqcA2AZyAtP2uSiGaMcR,"11,213,690.912892",1.12%,"$3,432.79"
9,DNUQV1piUdThy7AeRM556r5fPv3UXaJNHLbuLczFh85q,CcdrdXqtZPAvPiE1HmCnHLRpXhRup6Vavc8GGrYzYtAf,"10,024,622.033599",1%,"$3,068.79"
10,52aCBp2E6odW4ggLokaPNW4qfbytWbNGjfMZCEYMkqV6,5jA1N776zqaUXsj3srWY8nQ2riQwnCY8ac6W8tVYZBtW,"10,000,287.344908",1%,"$3,061.34"
11,7G8CvHttpAEpKkZWEpJMHGfHxYj1ypEPd9LMJw4ytC63,DVEs7Fr2G6MdE5V7ppTLb9jfVdNjohZ1v8wfRdcrRjkF,"10,000,000",1%,"$3,061.25"
12,EUhQTGben5BE31Q5h6buZ1LkyGYytTLFXkQDXc94mKqK,AXy9JAQwYEtycm9kp38Lqm2CYdvwTSTJv4dtHMS3zMDi,"9,000,000",0.9%,"$2,755.12"
13,CdPer1pGZBaiGQbjnpeozPQ8dDUPxmUsQYVqjqNAZMQm,E5p2X4dS3DLgEw3MaMYTCm22qU9z9enpddJSxZuMnp42,"8,382,251.508708",0.83%,"$2,566.01"
14,8LbRiAg6RL33dZQB7H4bKyG8Xfpro2UMpEPNG4o32c6,FyEjKc6pvva5zCXVm5zZptcEefNLawzuYaE7wa2Ajnyr,"8,232,561.829928",0.82%,"$2,520.19"
15,37Nx8X16H1ouKGgS5qw63XTDfXDkL5VJB1Zb3kZqmXXM,Bqy5pdxQ8noBADGek9HRxcnXk5Mm11WdHYycPbKqtLny,"7,961,067.813713",0.79%,"$2,437.08"
16,EMbYRVk58mcARNcgxTGQRHkgeSUyDsDZbHz4kZX3GD3E,5NrZYJCUtvaQcvcw4fD7ftrMBp42sURhTSBaPa6r59CY,"7,906,183.169126",0.79%,"$2,420.28"
17,DzjDqxJdffTq7r2ZojMqwvhcyKVxye4P8VVxySqYbcGg,8vZAD6FUUksALW5DW1zHEukJRNK4e2SnCDV1Hq2MHarf,"7,649,680.584448",0.76%,"$2,341.76"
18,DeL1NbXWLF1U33PPW8UogxfjRhyj4TVY12dQutZLdMN3,HvTk5LMmmmvyF5E73eZsRtazW9o9RHf9qWwM9mb2A3ED,"7,593,676.741877",0.75%,"$2,324.61"
19,4ZCD55ibu9RuMcaXinwxWKf7b8G9JKLQ5CGtjBzhnr4k,Dm18KY1Gi3wtAMskXhvhmthcM4eMvXzgqsnLWup9Fb5u,"7,430,439.484712",0.74%,"$2,274.64"
20,FLn9MzzJ4tqrD8Q159xuL6rkWAiZvDXJ8upB4DJEAxmn,BGiCedsMjR5bsG2mhruqS5NSLiwqcjQT6c7tcBJFsdZz,"7,418,096.545526",0.74%,"$2,270.86"
