,account,token_account,quantity,percetange,value
0,531FBxSLWwDpfjNWmpbhSjzGmKSr9u2W3ZAHyVyvh3HY,BJKit11njodATSr9AxZjdHezs8gZBS6jz2Zd87JGPWBT,"7,142,900",0.71%,"$7,297,067.12"
1,9Abbs8Y1dECC7vAGKKgGNqKLdR7codaFgdmXZzZKvZtW,Ej6CEVe8s8mJHv2aLjshB8fmYKMfC9ADNYQ2q2Mu1TGU,"4,285,700",0.42%,"$4,378,199.41"
2,3b4SMWXpboSTHGkg6D7yWhR94NKKSivWkAzFF5YqHvVN,DRLKEy8F9cYS9zqMJdoxRVarArLvptKN33PrKQS3Frok,"4,285,700",0.42%,"$4,378,199.41"
3,G9e659JhmMHyYeuqxQWzyfo1sF66ui9VFPcs49kCqhCm,Fa1NP9SqFyDv3as3qHrCZpTqkiRonYuLBEZSqVYeNWay,"2,857,100",0.28%,"$2,918,765.55"
4,8SgKAxGUHg1UGmyJ4UziTDp1WjSRS3qRwqkUe7Fkc74,EL5coCzbVHPCYqPWt1HqVYjKnhT1yAD1Bk6kS8QQNfwX,"2,857,100",0.28%,"$2,918,765.55"
5,7wga5xUXmDLbgaRAga1NGDEVGN6WgonoZ9kNAeaCkMdK,13AD35T9uvKw7yvVUUbTShtofre9cxdGkHW312PKgJNh,"2,857,100",0.28%,"$2,918,765.55"
6,781HRNXr45EzZ7NbYPyaMorTaNoY8jk8FnKgsSsrwMR,FDNRsuCiFpEQCQjkoPcj6aCg79mRHAvk7LPzPJBW5xeC,"2,587,100",0.25%,"$2,642,938.07"
7,MaMXJYsuWntAd8mgL3Y4HYQeaG3DT6sDuhQbGh7Jx2G,5nbtFQ3HDiLfQpSzQJSjWFLg933fwheSwYUsYGgiPp7u,"850,000",0.085%,"$868,345.77"
8,A1fYMieFg9BXWahnjZtBn9yaNbdk2aX654RJHXDwZ5NQ,4Ac8mWC9NqgpRJYzVth5w9eK8tCXiFX9AyeuEre9nZNb,"802,769.340101",0.08027%,"$820,095.72"
9,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,APSx3n51M4bCYgDWRQo6eSt3M4UHvxY1y5HHdpRc6WK9,"643,420.307438",0.06434%,"$657,307.42"
10,8dduty5P8cD3VKQ2ZEDPqpMSBhBAzc4qSTYWhUTbebv2,2g4kzHJmrMoooKoQdPv5GfQCQTvfq1sZ8R3bGXCCUupY,"630,988.180344",0.06309%,"$644,606.96"
11,Ddcz6BJAS6DgQi7nXGeV6A9NMpmSQBdXZGDEzxxVrNvi,DTJ6i4T3x4mW4xyirnmLuKnJGxYtypaKFQJzcR7MVWDX,"600,000",0.06%,"$612,949.96"
12,2DNb2Cxe5zCSoMjDy8JiAJAs9gDY6ExKMSkZ4yWf8nha,2JxdsETjXrVdH3h8vWRfPjkaVKk84PrXKvmyJD8xLZEH,"565,097.968344",0.0565%,"$577,294.62"
13,FiHNBJ14s3qQTAcCD1AhcYMSvxdnQPnUpX4J7iFKmmKn,ANxovcDqJ1rbRjRYqGiBZfTcjUXie1FbduupvVwTDREa,"547,398.209224",0.05473%,"$559,212.85"
14,Gs8zMmyw1knTqyyjDyGnN19DuAcfZUnmD1MaLfjtBWbm,CPfQ6RSZQRrpkMpXM2VB8wNrHXbbf8Z8RDUEXHBgog6f,"530,938.309791",0.05309%,"$542,397.69"
15,94M1ttjtpHdgTKxC2YsTNi6koVwbTRV58hyggiajvFy4,3X58Md1SaHturxyvySSgcPkuBG37QauhajyhxTSyap88,"434,058.312808",0.0434%,"$443,426.7"
16,GH53kDSeYa7nQDqHhCzt19aHh18gBzD5avM2EQfQZCyF,HBkvVcYsVu4w1RYDkZRacJCRCbqwTtJ4j4x3FeFKDGau,"365,133.364244",0.03651%,"$373,014.13"
17,4ybZwtYkRUbG7UYsjRtQhAhuNwfVQmGLxEDJo3HDegXg,2KD5UojGEJ5NppuuvkLDcpKm18L4fAqWu62de4GyESew,"347,684.265348",0.03476%,"$355,188.42"
18,EQCPY1jidwScNL8U9pCYmnprEyUoSzMVWPwhwesCLUxH,4UDLM9hdEtCArubUMtKHVmKZVgCRq1J6kyAsBT6z1LTN,"342,370.775483",0.03423%,"$349,760.25"
19,HE11rgiv1qApw6VCHSRTobS69rjBM6w2BHsPBqJgpNzF,2u5kWcABwYBSgwrUpvojWXSQzcUi2VccuDK5ki786beT,"341,803.60347",0.03418%,"$349,180.84"
20,9EVNZKGCcUxB89gNRwspsAhhewMSruTvW87YQ3nPUpix,5nkyff8KyYdHx8jcVuRmmZVDLR7idMt35LnxEJkYkL4F,"318,691.996687",0.03186%,"$325,570.41"
