,address,quantity,percetages
0,0xF0a52f9daC28290F5CE1D54EFd74b71f824cD9F1,"199,900,000",19.9900
1,0xAd6D8a16522Fc023da5E349Da5f1708E715C6271,"130,638,357",13.0638
2,0x73D8bD54F7Cf5FAb43fE4Ef40A62D390644946Db,"59,387,368.19744961359843249",5.9392
3,0xAd224F5AC175725828BBBE1d59f56E769C14CaC7,"47,500,000",4.7500
4,0x4982085C9e2F89F2eCb8131Eca71aFAD896e89CB,"22,060,853.8235722152915424",2.2061
5,0x7654D09b4Ead2eB6119a974c74071942Cc56866C,"18,024,435.82122215101173694",1.8024
6,0xEf5276B4291Af759808B4289B757D57a37a31995,"10,000,000",1.0000
7,0xBFaA278d37420DA2cDA6650D867a575Cf667eF4d,"8,084,211.086384947857764508",0.8084
8,0xFDa52f34b457253259Ac75cce1c651241CBCF403,"7,802,276.617821582051980352",0.7802
9,0x5b2Db59d6120A9000A4Aa4259aA7aa47aE0638B9,"7,214,773.803706401500890679",0.7215
10,0xB235b9bd19b929d881c1D3fDA561EEEb140469c8,"6,450,908.450147658689850174",0.6451
11,0x90166B5795250FE7f0831E844121CC91799787e9,"4,086,782.167617591287003055",0.4087
12,0x0b79102476747751B82d551DfC43d06Ff74bb000,"3,215,877.55180413282345089",0.3216
13,0x3F0c6DB3e2729a8F676EaDC8c30Fd5a34c21cAdE,"3,051,942.858528949844996053",0.3052
14,0x6805E0a158596fc2b45664449505B3a565b82a7E,"2,800,000",0.2800
15,0x6888e153CcF88D9e98dc24e1e9C3B99A58558faD,"2,523,468.786588345912844746",0.2523
16,0x73469efA09686aFB5F335A9B4E8245b8fe9Ac1E8,"1,732,323.402382297626178344",0.1732
17,0xfEfea9427Bef554Cc572bC4E887a0b9642fd8f4E,"1,684,018.154199641678624317",0.1684
18,0xB05736fb148c34f9C18c3341863a16A999e8B82C,"1,664,034.720769713449069279",0.1664
19,0xa1Dd9151875EFE9373DB15A5b96534c242403DEb,"1,599,000",0.1599
20,0xB78695dF906b2779De82Fe34BeA98c53CBa017da,"1,467,100.558788760231163087",0.1467
21,0x52449C04550CC59E4fCE6cC39BebeFC7e41680B4,"1,445,873.184276944297704829",0.1446
22,0x3159fc5eD978688b451C854895dC24d67E02Bab8,"1,306,000",0.1306
23,0xF8D4A4aee4d029171B89481f6FCE72F13ec9eD23,"1,304,093.50318082665268807",0.1304
24,0x758e83c114E36a28CA1f31C4d2ADB5Ec7c04C578,"1,273,520.884444039943041691",0.1274
25,0x6813cec8AE3B7b0F09D2Db373711B99a5E0a7349,"1,253,902.030263303630370891",0.1254
26,0x3e2b2cDC0AD8C5C945d1768Ea36db2a6F15bBefC,"1,188,997.704595228706130943",0.1189
27,0xe1Da4F798787E971B4458129F489DF4Ce5856c44,"1,186,392.347900675949960361",0.1186
28,0x1C926F8C7824aF9a6135FDBA68a300b144D76F22,"1,182,692.179819089333784456",0.1183
29,0x51f99B5259F13b47DbF1C62CD4FbBF9262d89455,"1,173,837.508571353196587899",0.1174
30,0xd8F49165098943d450a52BD58d1B5de0D60d9ffD,"1,165,288.797355056068398182",0.1165
31,0xb6105B42ed0BeBA02DC394bfd4CC18c53195499C,"1,131,053.322234538386351969",0.1131
32,0xAfBA765e49A4545569e955f6C4bABA12E427Bf64,"1,128,666.117543377340177155",0.1129
33,0x49D3142C09d27Cb478d74326e93baf929832Af7b,"1,125,525.217153171926683172",0.1126
34,0x9f63db22d8bdB8EC90cC6370229B1be6Df9f4444,"1,040,164.807908924344401982",0.1040
35,0x7FB615fC9D0DB8Faaa8916883F6dFE089BbF72Ab,"1,021,690.990136401013065665",0.1022
