  ,address,quantity,percetages,value
0,0x94053A31d5DB6cADa45FB560B77213b0ED237ea2,"71,437,551.898226755996019765",71.4376,"$37,346.12"
1,0x94053A31d5DB6cADa45FB560B77213b0ED237ea2,"71,437,551.898226755996019765",71.4376,"$37,346.12"
2,0x000000000000000000000000000000000000dEaD,"17,000,375",17.0004,"$8,887.46"
3,0x000000000000000000000000000000000000dEaD,"17,000,375",17.0004,"$8,887.46"
4,0x6fb10D97C08e0271B6DBfBccf423e1Ac9514495f,"1,280,756.68624107961142908",1.2808,$669.55
5,0x6fb10D97C08e0271B6DBfBccf423e1Ac9514495f,"1,280,756.68624107961142908",1.2808,$669.55
6,0x1b282Fb0732ba43bFF5888f858732aAF68A5a14A,"223,607.625089179345001989",0.2236,$116.90
7,0x1b282Fb0732ba43bFF5888f858732aAF68A5a14A,"223,607.625089179345001989",0.2236,$116.90
8,0x1aA241d3AF60cEaFaBe987f8065299fa574B6617,"222,350.766941693441682777",0.2224,$116.24
9,0x1aA241d3AF60cEaFaBe987f8065299fa574B6617,"222,350.766941693441682777",0.2224,$116.24
10,0x2089c374EC5E8af44239423aa926fC60A4d361e1,"213,890.078906052189897282",0.2139,$111.82
11,0x2089c374EC5E8af44239423aa926fC60A4d361e1,"213,890.078906052189897282",0.2139,$111.82
12,0x5Aac59ef42f3D695b7E1FB34f3453b2F8991aC45,"213,012.498656860281921808",0.2130,$111.36
13,0x5Aac59ef42f3D695b7E1FB34f3453b2F8991aC45,"213,012.498656860281921808",0.2130,$111.36
14,0x41D06390b935356b46aD6750bdA30148Ad2044A4,"209,902.547462999874722059",0.2099,$109.73
15,0x41D06390b935356b46aD6750bdA30148Ad2044A4,"209,902.547462999874722059",0.2099,$109.73
16,0x461894DAAa5b97ae62448eDe13aA65637ee8328d,"199,845.396420604394634733",0.1998,$104.48
17,0x461894DAAa5b97ae62448eDe13aA65637ee8328d,"199,845.396420604394634733",0.1998,$104.48
18,0x9a4d4b6086e2176c2F0B7E1d2BABE5Ce4965f032,"178,967.522241552538674646",0.1790,$93.56
19,0x9a4d4b6086e2176c2F0B7E1d2BABE5Ce4965f032,"178,967.522241552538674646",0.1790,$93.56
20,0xf98537eE11Bf3893EC08fB34350d2C9202b8dA94,"176,531.663500290359337715",0.1765,$92.29
21,0xf98537eE11Bf3893EC08fB34350d2C9202b8dA94,"176,531.663500290359337715",0.1765,$92.29
22,0x6A595DE903B192c2c6E739A2b6B8e61fb6cFc6c9,"174,131.380226170901930501",0.1741,$91.03
23,0x6A595DE903B192c2c6E739A2b6B8e61fb6cFc6c9,"174,131.380226170901930501",0.1741,$91.03
24,0x5B8dD43dda9De60C24a9b9D35ce9ba89c0Bef846,"159,365.034915586791907709",0.1594,$83.31
25,0x5B8dD43dda9De60C24a9b9D35ce9ba89c0Bef846,"159,365.034915586791907709",0.1594,$83.31
26,0x20aFd33435A5d7A77D2fc7637E66f99B12c37ff1,"154,015.707354540377490148",0.1540,$80.52
27,0x20aFd33435A5d7A77D2fc7637E66f99B12c37ff1,"154,015.707354540377490148",0.1540,$80.52
28,0x017897Eb330D4D9CA3e9A8e85237D1252c9AAa97,"150,000",0.1500,$78.42
29,0x017897Eb330D4D9CA3e9A8e85237D1252c9AAa97,"150,000",0.1500,$78.42
30,0x817fd546AbCA180EFe72cCEF8786795DaA0D66C8,"149,436.568443212031821933",0.1494,$78.12
31,0x817fd546AbCA180EFe72cCEF8786795DaA0D66C8,"149,436.568443212031821933",0.1494,$78.12
32,0x1e2eBC487dE50830B300791066A2f59C307b022C,"148,568.82862063839552885",0.1486,$77.67
33,0x1e2eBC487dE50830B300791066A2f59C307b022C,"148,568.82862063839552885",0.1486,$77.67
34,0x0603ba396Da5704C44048312c2b2f047ab675E26,"147,617.261964756307962972",0.1476,$77.17
35,0x0603ba396Da5704C44048312c2b2f047ab675E26,"147,617.261964756307962972",0.1476,$77.17
36,0x3cb5B33588fC1C0780263fEC48B096cc0D55d87f,"120,063.863388691293268908",0.1201,$62.77
37,0x3cb5B33588fC1C0780263fEC48B096cc0D55d87f,"120,063.863388691293268908",0.1201,$62.77
38,0x8293CE1B18B21E28b24Ec1f0912C4f5E67fC9BBc,"105,030.456436123824647282",0.1050,$54.91
39,0x8293CE1B18B21E28b24Ec1f0912C4f5E67fC9BBc,"105,030.456436123824647282",0.1050,$54.91
40,0x37dc84d544758D0a46Ec511babceA18535245c6A,"102,026.096097705711359932",0.1020,$53.34
41,0x37dc84d544758D0a46Ec511babceA18535245c6A,"102,026.096097705711359932",0.1020,$53.34
42,0xB2A3b8b055d44640fD9Eb8e6A8f9CD589d886cAF,"101,725.501865536702101042",0.1017,$53.18
43,0xB2A3b8b055d44640fD9Eb8e6A8f9CD589d886cAF,"101,725.501865536702101042",0.1017,$53.18
44,0x65dA7F0FC8EF51F4d5699cB6172344C15C9B190A,"100,494.376641438814629815",0.1005,$52.54
45,0x65dA7F0FC8EF51F4d5699cB6172344C15C9B190A,"100,494.376641438814629815",0.1005,$52.54
46,0xdc1d46A65338ef5c70Ba6478Fc62e535Bed13fE9,"99,609.40170801307950083",0.0996,$52.07
47,0xdc1d46A65338ef5c70Ba6478Fc62e535Bed13fE9,"99,609.40170801307950083",0.0996,$52.07
48,0x70a759D5B566446aD53A8ddDc5f802B582AB0801,"97,544.274731993042738417",0.0975,$50.99
49,0x70a759D5B566446aD53A8ddDc5f802B582AB0801,"97,544.274731993042738417",0.0975,$50.99
50,0xbE1642a5C57fD3cdD47fB663e547cEc9cC0a5800,"91,636.957557551023063791",0.0916,$47.91
51,0xbE1642a5C57fD3cdD47fB663e547cEc9cC0a5800,"91,636.957557551023063791",0.0916,$47.91
52,0x646fA0Be1cC03AAA830699282BCF53865F64bFCc,"89,725.323231662660353322",0.0897,$46.91
53,0x646fA0Be1cC03AAA830699282BCF53865F64bFCc,"89,725.323231662660353322",0.0897,$46.91
54,0xcc3E25d6E48330f32EEB6611FCF1a36a531d009a,"77,476.28022969094688099",0.0775,$40.50
55,0xcc3E25d6E48330f32EEB6611FCF1a36a531d009a,"77,476.28022969094688099",0.0775,$40.50
56,0x958dc9cae0b7667C0abF4f376d28D368C3c7D143,"75,933.112815503135321443",0.0759,$39.70
57,0x958dc9cae0b7667C0abF4f376d28D368C3c7D143,"75,933.112815503135321443",0.0759,$39.70
58,0xc28B1F0228bdb923e3b34099B68acD5b4F782A0c,"75,578.199687055403548788",0.0756,$39.51
59,0xc28B1F0228bdb923e3b34099B68acD5b4F782A0c,"75,578.199687055403548788",0.0756,$39.51
60,0x1ddB7d6998476Dd4A3cc0639c03e5090A3FB3316,"75,005.932828399733550476",0.0750,$39.21
61,0x1ddB7d6998476Dd4A3cc0639c03e5090A3FB3316,"75,005.932828399733550476",0.0750,$39.21
62,0x1A5bCC61c17f50d17365C00fE169b0338389907A,"74,899.366941074328215032",0.0749,$39.16
63,0x1A5bCC61c17f50d17365C00fE169b0338389907A,"74,899.366941074328215032",0.0749,$39.16
64,0xa9502341cBc2940e46Cab83d3f03073615C650b2,"73,959.344797965372291397",0.0740,$38.66
65,0xa9502341cBc2940e46Cab83d3f03073615C650b2,"73,959.344797965372291397",0.0740,$38.66
66,0xfA625210D13661cF26701150208ebB49585E90d2,"70,251.395520306610361414",0.0703,$36.73
67,0xfA625210D13661cF26701150208ebB49585E90d2,"70,251.395520306610361414",0.0703,$36.73
68,0xc24731C1582abd4Bc86533FFE08939A2876A2e03,"67,135.837688173390985492",0.0671,$35.10
69,0xc24731C1582abd4Bc86533FFE08939A2876A2e03,"67,135.837688173390985492",0.0671,$35.10
70,0x2d89FBe8C4d524567A8913D9f52f46a3C99e347c,"65,587.777323968296514126",0.0656,$34.29
71,0x2d89FBe8C4d524567A8913D9f52f46a3C99e347c,"65,587.777323968296514126",0.0656,$34.29
72,0xf01BAAEcC8FC44437A6b345c2b3742fc87305d81,"61,813.113891562674604796",0.0618,$32.31
73,0xf01BAAEcC8FC44437A6b345c2b3742fc87305d81,"61,813.113891562674604796",0.0618,$32.31
74,0xa6D1006cf7F41fB482064619310c48832652CA17,"60,814.836445587646420164",0.0608,$31.79
75,0xa6D1006cf7F41fB482064619310c48832652CA17,"60,814.836445587646420164",0.0608,$31.79
76,0x084BD60fA6b01455320852245a96118117a994fF,"57,398.502359087418377977",0.0574,$30.01
77,0x084BD60fA6b01455320852245a96118117a994fF,"57,398.502359087418377977",0.0574,$30.01
78,0x38543e72A1D6cf904F02cD6c2b0ec132E96abD61,"57,018.35823788070700323",0.0570,$29.81
79,0x38543e72A1D6cf904F02cD6c2b0ec132E96abD61,"57,018.35823788070700323",0.0570,$29.81
80,0x000000fee13a103A10D593b9AE06b3e05F2E7E1c,"56,839.972501293563071405",0.0568,$29.71
81,0x000000fee13a103A10D593b9AE06b3e05F2E7E1c,"56,839.972501293563071405",0.0568,$29.71
82,0x4C85F8005DedF3130bA92D36eb4787d6aD2e63a5,"56,253.688466516983156314",0.0563,$29.41
83,0x4C85F8005DedF3130bA92D36eb4787d6aD2e63a5,"56,253.688466516983156314",0.0563,$29.41
84,0xb779547DA0a2f5b866AA803a02124EDE4daab10f,"53,800.683139990156081936",0.0538,$28.13
85,0xb779547DA0a2f5b866AA803a02124EDE4daab10f,"53,800.683139990156081936",0.0538,$28.13
86,0x6907cb6D961ea40623304c2BaA52924218b2f0db,"51,345.53802720836216595",0.0513,$26.84
87,0x6907cb6D961ea40623304c2BaA52924218b2f0db,"51,345.53802720836216595",0.0513,$26.84
