,address,quantity,percetages,value
0,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,"56,547,720,685,745.072473695",0.0565,"$980,537.48"
1,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,"56,547,720,685,745.072473695",0.0565,"$980,537.48"
2,0xc4704f13d5E08b27B039d53873E813dD2fAD99d9,"33,061,650,124,726.886729431",0.0331,"$573,289.01"
3,0xc4704f13d5E08b27B039d53873E813dD2fAD99d9,"33,061,650,124,726.886729431",0.0331,"$573,289.01"
4,0x120051a72966950B8ce12eB5496B5D1eEEC1541B,"12,424,282,983,392.088698657",0.0124,"$215,437.07"
5,0x120051a72966950B8ce12eB5496B5D1eEEC1541B,"12,424,282,983,392.088698657",0.0124,"$215,437.07"
6,0x8A670F6B840A1BD47Bb4969aB2554cfEAf5e6107,"10,571,319,745,922.590208558",0.0106,"$183,306.68"
7,0x8A670F6B840A1BD47Bb4969aB2554cfEAf5e6107,"10,571,319,745,922.590208558",0.0106,"$183,306.68"
8,0x63e2453a558391bDAC2A55fa336c53DDBDe3F244,"9,696,625,774,024.24275447",0.0097,"$168,139.49"
9,0x63e2453a558391bDAC2A55fa336c53DDBDe3F244,"9,696,625,774,024.24275447",0.0097,"$168,139.49"
10,0x58edF78281334335EfFa23101bBe3371b6a36A51,"9,438,381,429,640.37845068",0.0094,"$163,661.53"
11,0x58edF78281334335EfFa23101bBe3371b6a36A51,"9,438,381,429,640.37845068",0.0094,"$163,661.53"
12,0x56778De2Aa6a88B6c35a05355C47c7CD93F754bc,"9,012,361,851,989.568177527",0.0090,"$156,274.35"
13,0x56778De2Aa6a88B6c35a05355C47c7CD93F754bc,"9,012,361,851,989.568177527",0.0090,"$156,274.35"
14,0xF977814e90dA44bFA03b6295A0616a897441aceC,"7,000,001,000,003.999999999",0.0070,"$121,380.02"
15,0xF977814e90dA44bFA03b6295A0616a897441aceC,"7,000,001,000,003.999999999",0.0070,"$121,380.02"
16,0x84fFcCcCFeE033FBb55B272BEf9FA61973a3D223,"6,926,913,219,448.259860621",0.0069,"$120,112.68"
17,0x84fFcCcCFeE033FBb55B272BEf9FA61973a3D223,"6,926,913,219,448.259860621",0.0069,"$120,112.68"
18,0x89C0304E322F710733DE1f026e37d9D1EDa76836,"6,925,275,224,382.087463827",0.0069,"$120,084.27"
19,0x89C0304E322F710733DE1f026e37d9D1EDa76836,"6,925,275,224,382.087463827",0.0069,"$120,084.27"
20,0x120b4863722936f591EadA038edB9A06053Ed46d,"6,852,416,400,052.285408764",0.0069,"$118,820.90"
