,address,quantity,percetages
0,0x73D8bD54F7Cf5FAb43fE4Ef40A62D390644946Db,"305,735,806.97840643913828926",30.5736
1,0xc7CC07fB37b20351Ff478C8F3f005c22683Ed959,"46,687,364.36539620123026542",4.6687
2,0x58495Ea0271d957632415B5494966899A1FA0BE3,"25,713,187.395578384783445593",2.5713
3,0x000000000000000000000000000000000000dEaD,"22,374,590.825743292113314878",2.2375
4,0xd79c8424735BF15dC78d83Fc04468Ae6AaB44916,"13,300,422.347345758457029443",1.3300
5,0x05615AeE6A7713f706e0DaB2D87D2F21107B2006,"12,359,686.914621687587095516",1.2360
6,0x244cB6152A2114050E144963cED8e89dF4187754,"10,402,027.413092268099516538",1.0402
7,0x8f25FAcD712D33B51141aFb29791b4ec8dD5128E,"10,000,000",1.0000
8,0xfd83eb709939731D96D729eF158c4AA8C0b8Aec4,"9,888,990.688709164358263627",0.9889
9,0x6C43450cB6721E7E519CB39B7C6AD21101B6f112,"9,516,454.042631196843465282",0.9516
10,0x99324220B793dF74fF2ba71Dc05Ea4cD515f2362,"9,406,006.247556429",0.9406
11,0xafdfd157d9361e621e476036FEE62f688450692B,"8,869,000",0.8869
12,0xdd3CB5c974601BC3974d908Ea4A86020f9999E0c,"7,892,165.085673007160640972",0.7892
13,0xD3bEdb0fee94e7A77933e429b602b97503e58C73,"7,880,000",0.7880
14,0x66f6B7E65582F0DB795276Fd3D7d86f152B09696,"7,208,303.92671378929300539",0.7208
15,0xf5de7a3dCd5Dd3B3690915bB5f7d0B037e4C211e,"6,369,103.827442907295264061",0.6369
16,0xeb73f97f9E2503a44BE35CA3ace01BDA8c18C12a,"6,360,658.928950210175794713",0.6361
17,0x4Ff1D40fb7B56665bf95D8D8e3A5320dE46709A1,"6,054,227.034599991048718475",0.6054
18,0xe72BB611b633FF5A0358D883CD6BA0Df6dF7DC39,"5,979,850.209207425956775655",0.5980
19,0x1b2b1A004bF1fDBdF8492b9c1DDCa012523ff7Be,"5,571,348.21973",0.5571
20,0x4982085C9e2F89F2eCb8131Eca71aFAD896e89CB,"5,463,456.091603207477065772",0.5463
21,0x1c504aCcD231a196A848236909fe9a751D28b76C,"5,453,552.720320544766711669",0.5454
22,0x300E8aD4EDbc727a429d1f702960Eb527776C929,"5,396,527.512328279628257358",0.5397
23,0xA21EaC2bEBA58e3b588Fa049D537FF56Cb8dc00b,"5,040,101.663129291014401722",0.5040
24,0xc33C1Bf93aF1d00A09EbCd9785C96D0343b9c183,"5,002,719.084722361402379028",0.5003
25,0xcb29dB271c58D6c58c9689550E2fc961662f90Bc,"5,000,000",0.5000
26,0xB195bce7f5Dd9f43817DBbaccFeF5706064De573,"4,889,232.853693932182430385",0.4889
27,0x4a75FFE74Cdaf097483F6460901703bf9f5c9bD8,"4,790,566.077881085313388137",0.4791
28,0x75D506A5Df04892D3Acfd99D1fbB03396ad04b9b,"4,493,674.909626876017808433",0.4494
29,0x3E75f05eBceAE89b0468208Ecc07ec3Ca5FaFAE3,"4,251,057.850469659699317903",0.4251
30,0xB22D7a4726c57dD7FD113363c73bEEea7911e9E2,"4,186,088.256190354338932254",0.4186
31,0x583040E7A204F2263CBa120117E8852B6E2C0b6F,"3,961,891.355472575560870304",0.3962
32,0xCd6E8AA1Da33531a234a736b58c0cA4b0407F0a7,"3,731,790.999289689734332231",0.3732
33,0x1028D61Ed05779eb05A78773CA3f7427d12F499f,"3,722,341.14042141219332536",0.3722
34,0xD2a630e516fbe4632E9a92c95f094f69eAECB839,"3,601,256.885942795369762008",0.3601
35,0x3447403dec288Cc31fbFe76779d059D6649738e7,"3,438,588.959625996973040201",0.3439
36,0x9248e1cb8cBfC6E4626115726cAa7d4c7890d1E0,"3,398,627.636596000956649138",0.3399
37,0x0CC20fFB61d11371A4F79Fa0193932356B01117E,"3,356,211.545026304306544439",0.3356
38,0x4F816e4A3DAAae5CE6C938F2341435bb5EA332db,"3,351,918.784837818027269194",0.3352
39,0x2d17F6dE101Bfb1466B317A8cfab8C5648eF4e65,"3,325,930.308930303346794014",0.3326
40,0x34556FbFaD47f0F65Cc7119FF74A188d03fdb45d,"3,265,499.306674321093628673",0.3265
41,0xc277c5Fa1186a9B1fFF97F3d5a60408B963d29f9,"3,245,908.710144469122684353",0.3246
42,0xEA32710a17749058C7923eDA46dC6F8a478943ed,"3,207,314.370947405467453049",0.3207
43,0x2bE8Abe8289f1aE244df9026810164F096559c66,"3,206,584.327776824610841581",0.3207
44,0x76b24903A45BCd31fE86026ed5142ad9B606Bf4D,"3,151,205.191588526011043424",0.3151
45,0x4E870A80937D88D23CE699433941Bfe1FEBDCfa4,"3,118,210.836219074406898055",0.3118
46,0x552144e15A7D7165742bFFd394A52D0951312e5A,"2,969,427.189915757372665639",0.2969
47,0x30058B0b1F076b8cCF12FA93eC5a9489ef999999,"2,932,502.100536390613491706",0.2933
48,0x9dE89b6A209847b857904E878b2D722A8a7c2E11,"2,875,708.653669794243812013",0.2876
49,0xeDcb079883dEC05a424f60d06271DB9da1402aeD,"2,860,878.892687745921023238",0.2861
50,0xd7546709eaF484D48be41FBE1c20E166BaC966E9,"2,701,600",0.2702
51,0x2897903371d889Af33b66466aA5A77cc251fce4d,"2,627,938.173585547037",0.2628
52,0xaD65F30B3F26F16ea55e258b5745580Ea34e66dC,"2,600,000.739815057914405172",0.2600
53,0x0D382C5c3d3A203406652ae364d3537CFb0ce8a6,"2,526,457.058238438728179997",0.2526
54,0x84F5776720bca71C5CDa11BAa9301465011A904f,"2,474,354.474648549037156853",0.2474
55,0xdd6b7e551738493A1336A3DeC51F85268e58137F,"2,470,449.910712387438305689",0.2470
56,0x57e1cD2C5123005fbA7877f1e766836AD61b4fF6,"2,386,368.557836589715579261",0.2386
57,0x79635473cde23086ecA63c48FFFCd209A7DFD989,"2,371,800.360148065230654378",0.2372
58,0x033dEd6F6dc4D50e62f4892997c292319dF573FF,"2,366,215.893144523692095899",0.2366
59,0x44Ee5370a9686d9a5c44904cE017c18f970659fe,"2,331,108.647405537375554099",0.2331
60,0x108314C54Ec9515E25448F61B5dcd2be958b04eC,"2,329,378.786389114861276524",0.2329
61,0x01615D2f76a7494BCa3FE15553694Af05C2638F7,"2,286,015.23745311754410799",0.2286
62,0xd9e2060aEb7a87B4327cEA1C1D4f423D2819AFf7,"2,278,814.808599406336944491",0.2279
63,0x2F60C84555fe57924530e739d7f673e8598B9CBf,"2,250,992.111140822840157263",0.2251
64,0xD8dBfC8F26cABDda02791Bbd2D3D4b2117dA0B41,"2,235,064.418124269562912071",0.2235
65,0xE61a6e2E8D8a64EB42bA89A6c6816DB91C15831C,"2,090,602.534800555507924977",0.2091
66,0xad1e45052A067F9e68d79f4533D6871C500F4dA1,"2,032,900.296164600132780815",0.2033
67,0xb08e12900fA5F54A8Ff569D3C185781699c06502,"2,007,740.923883908173135606",0.2008
68,0xF5Ea1eD56B18049911C9FC942a651eE775C676C3,"2,000,000.00000000332742809",0.2000
69,0xD6f0592B31fA69820Af8b1E6aEF6BA122d45cdE1,"2,000,000",0.2000
70,0x0B5DdBC13794Ac6784521aCdB7eB259A6877CAF3,"1,999,999.999999999999202024",0.2000
71,0xbC3D26CC04B333C21f8e8978df3d1ed537fd2B2b,"1,934,080.150104804516235268",0.1934
72,0x657fdabc90F4269f4Cbf2085Fb25349d2d879f2c,"1,867,166",0.1867
73,0xEE24a335fa1c5BA23717f871360fB059f8661011,"1,840,570",0.1841
74,0xBe411A7B534875E5dE701Bce0F3610eb3CA7205f,"1,781,373.841074333702993267",0.1781
75,0xd98382436819d5DbE46209814e476C653e5C7137,"1,759,939.826335628614841281",0.1760
76,0xD4290F0CFC4d048b16406D748D70AFE7DABDE09E,"1,735,993.851387743763307621",0.1736
77,0xd4629b1440E4f2285613b617aE2f852Aec4ef10d,"1,694,687.309173163893264707",0.1695
78,0xd8742b43c6e740d5203ae55219f2976175e3dB49,"1,675,698",0.1676
79,0x88946c23FB18f1E695D6ca82DEB05462D0657c21,"1,636,635.628209475667329799",0.1637
80,0x583AC3Af8e79484DbE64F41e25E83c3455f957F2,"1,597,650.806681883369830001",0.1598
81,0x3D0BA18159b956C84eea7C5AD8B1Ca86418D1D9a,"1,564,757.928461464460017614",0.1565
